nom_c	nom_l	nom_s	color	vol_vox	vol_mm3	xv	yv	zv	xmm	ymm	zmm
G_Frontal_Sup-1-L	G_Frontal_Sup-1-L	F1_1_L	1	139	139	54	96	44	-15.9856115107914	64.9352517985612	13.0791366906475
G_Frontal_Sup-1-R	G_Frontal_Sup-1-R	F1_1_R	2	25	25	40	98	42	12.88	67.68	10.64
G_Frontal_Sup-2-L	G_Frontal_Sup-2-L	F1_2_L	3	1108	1108	52	87	58	-11.8772563176895	46.4873646209386	41.4151624548737
G_Frontal_Sup-2-R	G_Frontal_Sup-2-R	F1_2_R	4	1168	1168	40	87	58	12.0205479452055	45.0582191780822	41.8202054794521
G_Frontal_Sup-3-L	G_Frontal_Sup-3-L	F1_3_L	5	57	57	56	72	69	-19.7894736842105	16.2105263157895	63.4385964912281
G_Frontal_Sup-3-R	G_Frontal_Sup-3-R	F1_3_R	6	102	102	36	73	67	19.4117647058823	17.1960784313725	60.6862745098039
S_Sup_Frontal-1-L	S_Sup_Frontal-1-L	f1_1_L	7	267	267	57	95	33	-22.0224719101124	61.4831460674157	-8.24719101123596
S_Sup_Frontal-1-R	S_Sup_Frontal-1-R	f1_1_R	8	620	620	36	95	34	20.2483870967742	62.7354838709678	-5.59354838709677
S_Sup_Frontal-2-L	S_Sup_Frontal-2-L	f1_2_L	9	783	783	60	92	38	-27.2234993614304	55.6219667943806	1.35632183908046
S_Sup_Frontal-2-R	S_Sup_Frontal-2-R	f1_2_R	10	604	604	32	92	41	28.2384105960265	56.4139072847682	7.21523178807946
S_Sup_Frontal-3-L	S_Sup_Frontal-3-L	f1_3_L	11	659	659	59	85	52	-25.6236722306525	42.7830045523521	29.5447647951442
S_Sup_Frontal-3-R	S_Sup_Frontal-3-R	f1_3_R	12	655	655	34	87	52	24.8854961832061	45.0687022900763	29.0106870229008
S_Sup_Frontal-4-L	S_Sup_Frontal-4-L	f1_4_L	13	980	980	58	79	61	-23.0081632653061	29.2551020408163	48.0265306122449
S_Sup_Frontal-4-R	S_Sup_Frontal-4-R	f1_4_R	14	423	423	36	82	61	19.9101654846336	35.5224586288416	48.4255319148936
S_Sup_Frontal-5-L	S_Sup_Frontal-5-L	f1_5_L	15	611	611	60	69	65	-27.1358428805237	10.7692307692308	56.569558101473
S_Sup_Frontal-5-R	S_Sup_Frontal-5-R	f1_5_R	16	1035	1035	32	72	63	27.1826086956522	16.8154589371981	52.2086956521739
S_Sup_Frontal-6-L	S_Sup_Frontal-6-L	f1_6_L	17	608	608	58	64	66	-23.7335526315789	0.28289473684211	58.9868421052632
S_Sup_Frontal-6-R	S_Sup_Frontal-6-R	f1_6_R	18	528	528	34	65	67	23.2386363636364	2.14772727272728	59.5530303030303
G_Frontal_Mid-1-L	G_Frontal_Mid-1-L	F2_1_L	19	272	272	66	85	47	-39.9779411764706	41.1102941176471	19.5294117647059
G_Frontal_Mid-1-R	G_Frontal_Mid-1-R	F2_1_R	20	516	516	25	86	44	41.3062015503876	44.3410852713178	13.437984496124
G_Frontal_Mid-2-L	G_Frontal_Mid-2-L	F2_2_L	21	777	777	62	86	50	-32.7850707850708	44.3088803088803	25.8172458172458
G_Frontal_Mid-2-R	G_Frontal_Mid-2-R	F2_2_R	22	697	697	30	87	51	31.7044476327116	45.2309899569584	27.2482065997131
G_Frontal_Mid-3-L	G_Frontal_Mid-3-L	F2_3_L	23	146	146	66	80	55	-39.027397260274	31.013698630137	35.9315068493151
G_Frontal_Mid-3-R	G_Frontal_Mid-3-R	F2_3_R	24	295	295	27	81	55	37.3084745762712	33.0372881355932	35.0372881355932
G_Frontal_Mid-4-L	G_Frontal_Mid-4-L	F2_4_L	25	535	535	65	74	61	-37.8242990654205	19.4056074766355	47.3719626168224
G_Frontal_Mid-4-R	G_Frontal_Mid-4-R	F2_4_R	26	424	424	27	75	60	38.8349056603774	21.5660377358491	46.438679245283
G_Frontal_Mid-5-L	G_Frontal_Mid-5-L	F2_5_L	27	245	245	68	74	56	-43.2408163265306	19.8367346938776	37.069387755102
