ROI_AICHA,Yeo_7_Networks,Side
117,1,L
119,1,L
121,1,L
123,1,L
125,1,L
127,1,L
129,1,L
131,1,L
133,1,L
135,1,L
141,1,L
143,1,L
195,1,L
283,1,L
289,1,L
291,1,L
293,1,L
295,1,L
297,1,L
299,1,L
301,1,L
303,1,L
305,1,L
307,1,L
309,1,L
311,1,L
313,1,L
315,1,L
323,1,L
327,1,L
329,1,L
335,1,L
339,1,L
341,1,L
343,1,L
55,2,L
61,2,L
63,2,L
65,2,L
67,2,L
69,2,L
71,2,L
73,2,L
77,2,L
79,2,L
155,2,L
159,2,L
161,2,L
163,2,L
165,2,L
233,2,L
239,2,L
257,2,L
259,2,L
261,2,L
263,2,L
5,3,L
17,3,L
51,3,L
53,3,L
57,3,L
59,3,L
75,3,L
81,3,L
83,3,L
85,3,L
113,3,L
115,3,L
137,3,L
185,3,L
191,3,L
193,3,L
275,3,L
281,3,L
337,3,L
11,4,L
87,4,L
89,4,L
91,4,L
93,4,L
95,4,L
149,4,L
151,4,L
153,4,L
157,4,L
175,4,L
199,4,L
227,4,L
229,4,L
231,4,L
235,4,L
237,4,L
245,4,L
273,4,L
7,5,L
35,5,L
43,5,L
45,5,L
49,5,L
145,5,L
187,5,L
197,5,L
201,5,L
203,5,L
205,5,L
215,5,L
219,5,L
317,5,L
325,5,L
331,5,L
333,5,L
351,5,L
9,6,L
19,6,L
21,6,L
23,6,L
27,6,L
29,6,L
31,6,L
37,6,L
39,6,L
97,6,L
107,6,L
109,6,L
111,6,L
211,6,L
221,6,L
247,6,L
251,6,L
287,6,L
1,7,L
3,7,L
13,7,L
15,7,L
25,7,L
33,7,L
41,7,L
47,7,L
99,7,L
101,7,L
103,7,L
105,7,L
139,7,L
147,7,L
167,7,L
169,7,L
171,7,L
173,7,L
177,7,L
179,7,L
181,7,L
183,7,L
189,7,L
207,7,L
209,7,L
213,7,L
217,7,L
223,7,L
225,7,L
241,7,L
243,7,L
249,7,L
253,7,L
265,7,L
267,7,L
269,7,L
271,7,L
277,7,L
279,7,L
285,7,L
116,1,R
118,1,R
120,1,R
122,1,R
124,1,R
126,1,R
128,1,R
130,1,R
132,1,R
134,1,R
136,1,R
142,1,R
144,1,R
196,1,R
284,1,R
290,1,R
292,1,R
294,1,R
296,1,R
298,1,R
300,1,R
302,1,R
304,1,R
306,1,R
308,1,R
310,1,R
312,1,R
314,1,R
316,1,R
324,1,R
328,1,R
330,1,R
336,1,R
340,1,R
342,1,R
344,1,R
56,2,R
62,2,R
64,2,R
66,2,R
68,2,R
70,2,R
72,2,R
74,2,R
80,2,R
156,2,R
160,2,R
162,2,R
164,2,R
166,2,R
168,2,R
236,2,R
240,2,R
258,2,R
260,2,R
262,2,R
264,2,R
18,3,R
52,3,R
54,3,R
58,3,R
60,3,R
76,3,R
78,3,R
82,3,R
84,3,R
86,3,R
110,3,R
112,3,R
114,3,R
140,3,R
186,3,R
192,3,R
194,3,R
274,3,R
276,3,R
282,3,R
338,3,R
22,4,R
88,4,R
90,4,R
92,4,R
94,4,R
96,4,R
150,4,R
152,4,R
154,4,R
158,4,R
176,4,R
226,4,R
228,4,R
230,4,R
232,4,R
234,4,R
238,4,R
246,4,R
36,5,R
44,5,R
46,5,R
50,5,R
146,5,R
188,5,R
204,5,R
206,5,R
220,5,R
318,5,R
326,5,R
332,5,R
334,5,R
352,5,R
8,6,R
10,6,R
12,6,R
16,6,R
20,6,R
24,6,R
26,6,R
28,6,R
30,6,R
32,6,R
38,6,R
40,6,R
98,6,R
102,6,R
108,6,R
182,6,R
190,6,R
212,6,R
222,6,R
244,6,R
248,6,R
252,6,R
280,6,R
288,6,R
2,7,R
4,7,R
6,7,R
14,7,R
34,7,R
42,7,R
48,7,R
100,7,R
104,7,R
106,7,R
138,7,R
148,7,R
170,7,R
172,7,R
174,7,R
178,7,R
180,7,R
184,7,R
198,7,R
200,7,R
202,7,R
208,7,R
210,7,R
214,7,R
216,7,R
218,7,R
224,7,R
242,7,R
250,7,R
254,7,R
266,7,R
268,7,R
270,7,R
272,7,R
278,7,R
286,7,R
