nom_c,color,nom_s,vol_vox,xmm,ymm,zmm
G_Frontal_Sup-2,3,F1_2_L,1108,-11.87725632,46.487364621,41.415162455
G_Frontal_Sup-2,4,F1_2_R,1168,12.020547945,45.058219178,41.820205479
S_Inf_Frontal-2,31,f2_2_L,1116,-43.10752688,14.842293907,29.413978495
S_Inf_Frontal-2,32,f2_2_R,1138,43.940246046,18.51142355,28.377855888
G_Frontal_Inf_Tri-1,33,F3t_L,1289,-49.44453064,25.557796742,4.6780449961
G_Frontal_Inf_Tri-1,34,F3t_R,967,49.830403309,28.539813857,5.0217166494
G_Frontal_Inf_Orb-1,41,F3O1_L,180,-42.17777778,30.533333333,-16.86666667
G_Frontal_Inf_Orb-1,42,F3O1_R,264,44.21969697,33.015151515,-14.43181818
S_Precentral-4,57,prec4_L,766,-42.17754569,0.7180156658,49.911227154
S_Precentral-4,58,prec4_R,540,43.655555556,0.9962962963,48.359259259
G_SupraMarginal-7,99,SMG7_L,303,-55.21452145,-51.669967,25.511551155
G_SupraMarginal-7,100,SMG7_R,125,55.36,-45.904,33.408
G_Angular-2,103,AG2_L,519,-37.53757225,-70.43930636,39.468208092
G_Angular-2,104,AG2_R,555,44.504504505,-62.37117117,36.277477477
G_Insula-anterior-2,147,INSa2_L,399,-33.79448622,16.79197995,-12.74185464
G_Insula-anterior-2,148,INSa2_R,273,34.703296703,18.468864469,-12.72527473
G_Insula-anterior-3,149,INSa3_L,469,-33.73987207,23.680170576,0.5756929638
G_Insula-anterior-3,150,INSa3_R,721,36.801664355,24.210818308,-0.332871012
G_Temporal_Sup-4,167,T1_4_L,832,-58.74519231,-23.25,3.7259615385
G_Temporal_Sup-4,168,T1_4_R,729,60.046639232,-19.97530864,2.2030178326
S_Sup_Temporal-1,169,STS1_L,326,-49.70552147,14.024539877,-21.54601227
S_Sup_Temporal-1,170,STS1_R,85,52.117647059,13.364705882,-25.85882353
S_Sup_Temporal-2,171,STS2_L,403,-54.86352357,-7.171215881,-12.75434243
S_Sup_Temporal-2,172,STS2_R,767,54.323337679,-2.495436767,-15.49934811
S_Sup_Temporal-3,173,STS3_L,629,-54.6836248,-33.01430843,-1.666136725
S_Sup_Temporal-3,174,STS3_R,641,53.054602184,-31.87519501,-0.271450858
S_Sup_Temporal-4,175,STS4_L,642,-56.5482866,-48.36760125,13.361370717
S_Sup_Temporal-4,176,STS4_R,840,54.614285714,-45.52857143,14.611904762
G_Temporal_Mid-3,183,T2_3_L,266,-60.96992481,-35.03007519,-4.804511278
G_Temporal_Mid-3,184,T2_3_R,241,62.340248963,-30.87966805,-4.705394191
G_Temporal_Mid-4,185,T2_4_L,496,-53.08870968,-59.38709677,7.0322580645
G_Temporal_Mid-4,186,T2_4_R,269,56.795539033,-53.21933086,2.9665427509
G_Supp_Motor_Area-2,223,SMA2_L,268,-10.55970149,18.179104478,63.119402985
G_Supp_Motor_Area-2,224,SMA2_R,218,10.541284404,18.47706422,62.880733945
G_Supp_Motor_Area-3,225,SMA3_L,527,-7.214421252,7.6394686907,65.582542694
G_Supp_Motor_Area-3,226,SMA3_R,275,6.3854545455,10.050909091,66.472727273
