Participant,Cluster - MMHC (category),Cluster - MMHC binaire (category),Cont - L - Std,Default - L - Std,DorsAttn - L - Std,Limbic - L - Std,SalVentAttn - L - Std,SomMot - L - Std,Vis - L - Std,Cont - R - Std,Default - R - Std,DorsAttn - R - Std,Limbic - R - Std,SalVentAttn - R - Std,SomMot - R - Std,Vis - R - Std,Cont - Asym - Std,Default - Asym - Std,DorsAttn - Asym - Std,Limbic - Asym - Std,SalVentAttn - Asym - Std,SomMot - Asym - Std,Vis - Asym - Std,Cont - G2 - Std - L,Cont - G2 - Std - R,Cont - G2 - Std - Asym,Default - G2 - Std - L,Default - G2 - Std - R,Default - G2 - Std - Asym,DorsAttn - G2 - Std - L,DorsAttn - G2 - Std - R,DorsAttn - G2 - Std - Asym,Limbic - G2 - Std - L,Limbic - G2 - Std - R,Limbic - G2 - Std - Asym,SalVentAttn - G2 - Std - L,SalVentAttn - G2 - Std - R,SalVentAttn - G2 - Std - Asym,SomMot - G2 - Std - L,SomMot - G2 - Std - R,SomMot - G2 - Std - Asym,Vis - G2 - Std - L,Vis - G2 - Std - R,Vis - G2 - Std - Asym,Cont - G3 - R - Std,Cont - G3 - L - Std,Cont - G3 - asym - Std,Default - G3 - R - Std,Default - G3 - L - Std,Default - G3 - asym - Std,DorsAttn - G3 - R - Std,DorsAttn - G3 - L - Std,DorsAttn - G3 - asym - Std,Limbic - G3 - R - Std,Limbic - G3 - L - Std,Limbic - G3 - asym - Std,SalVentAttn - G3 - R - Std,SalVentAttn - G3 - L - Std,SalVentAttn - G3 - asym - Std,SomMot - G3 - R - Std,SomMot - G3 - L - Std,SomMot - G3 - asym - Std,Vis - G3 - R - Std,Vis - G3 - L - Std,Vis - G3 - asym - Std
694,strong_typical,Typical,56.57,81.79,24.18,58.79,22.98,11.12,17.89,61.76,79.59,23.22,59.07,22.29,11.45,17.69,-5.19,2.20,0.96,-0.28,0.69,-0.33,0.20,48.79,51.40,-2.60,54.61,52.24,2.38,38.62,40.09,-1.47,44.76,45.68,-0.92,20.41,18.96,1.46,13.23,16.44,-3.22,75.99,71.45,4.54,67.852315379,70.918564177,3.0662487981,30.321322276,31.010879804,0.6895575284,51.498733262,52.283180913,0.7844476509,33.386025305,30.854688512,-2.531336792,54.11081777,53.292501125,-0.818316645,25.238806567,26.078706098,0.8398995311,37.07973652,39.649414184,2.5696776641
3371,mild_typical,Typical,59.88,83.56,31.19,67.35,27.88,19.36,16.64,62.57,85.10,31.15,60.71,26.14,20.21,18.31,-2.69,-1.54,0.04,6.64,1.74,-0.85,-1.68,41.77,47.01,-5.24,49.81,48.84,0.97,38.39,35.11,3.28,41.97,41.25,0.72,15.20,13.59,1.61,5.90,6.77,-0.87,77.47,76.65,0.82,72.489931412,73.396742006,0.9068105937,25.015522179,26.811945422,1.7964232429,62.106124317,61.524235442,-0.581888875,30.116588072,29.484779954,-0.631808118,68.178737354,65.657028597,-2.521708757,23.115293272,24.197643504,1.0823502315,34.168429128,35.136053333,0.9676242042
7976,strong_typical,Typical,68.15,70.84,24.98,51.91,35.48,15.34,18.98,68.84,66.43,28.16,51.06,39.50,14.01,16.09,-0.70,4.42,-3.18,0.84,-4.02,1.33,2.89,51.92,53.71,-1.79,53.42,53.04,0.38,48.43,45.64,2.80,43.19,44.08,-0.88,22.07,22.45,-0.39,17.94,20.49,-2.55,76.81,77.78,-0.97,73.246234834,56.288590669,-16.95764416,30.407143919,24.62519466,-5.781949259,55.173789702,33.504534762,-21.66925494,28.467578589,27.183299802,-1.284278787,58.593906033,31.496997801,-27.09690823,16.768098864,14.60722552,-2.160873345,25.239508781,24.486610234,-0.752898547
8667,strong_typical,Typical,71.23,81.38,54.31,63.02,44.37,26.27,12.77,75.62,82.39,40.25,65.74,45.24,21.98,10.18,-4.40,-1.02,14.06,-2.72,-0.88,4.29,2.59,48.28,48.61,-0.33,50.87,52.26,-1.39,40.91,42.76,-1.85,50.78,54.45,-3.67,23.25,22.56,0.69,25.84,34.84,-8.99,84.40,87.67,-3.27,81.964722819,77.710989413,-4.253733406,34.601408025,38.601267546,3.9998595211,59.62669863,62.970047065,3.3433484353,24.212994349,29.075222585,4.8622282362,60.274162634,57.298974177,-2.975188457,24.628751706,27.936991099,3.3082393935,21.608418582,25.027624769,3.4192061868
3150,mild_typical,Typical,59.71,81.75,32.73,75.04,30.45,20.56,22.44,63.58,75.42,35.03,58.70,29.59,20.95,17.80,-3.87,6.33,-2.30,16.33,0.87,-0.39,4.65,51.19,55.22,-4.03,54.68,55.20,-0.52,46.81,48.23,-1.43,49.64,47.45,2.19,30.56,27.92,2.64,9.81,17.61,-7.80,81.95,83.96,-2.01,74.811034881,66.27994163,-8.531093251,40.092131268,30.543180345,-9.548950923,69.634868504,64.863965244,-4.77090326,42.394960694,29.269007676,-13.12595302,58.170266536,55.451988085,-2.718278451,28.746852941,29.605216695,0.8583637548,36.977382022,38.323377879,1.345995857
5057,mild_typical,Typical,70.91,78.63,33.20,56.99,27.65,8.81,15.03,76.64,77.68,25.31,46.31,28.75,9.89,16.01,-5.73,0.95,7.89,10.68,-1.11,-1.09,-0.99,54.96,56.59,-1.63,55.85,54.66,1.19,41.22,40.47,0.75,48.91,42.33,6.58,22.41,21.34,1.07,15.67,15.33,0.34,75.80,74.27,1.53,74.367659672,69.720596865,-4.647062807,35.208317645,35.614233451,0.4059158059,46.279211012,52.961867884,6.682656872,32.987370362,30.559844633,-2.427525728,46.950382352,44.791513929,-2.158868423,15.017411273,14.614549544,-0.402861728,26.846877905,24.724609165,-2.12226874
9473,Atypical,Atypical,66.46,74.13,30.23,62.23,31.38,13.76,17.08,79.25,72.59,24.49,52.22,31.79,15.72,15.99,-12.79,1.54,5.74,10.01,-0.41,-1.96,1.09,53.49,60.50,-7.01,57.18,56.17,1.02,49.33,50.01,-0.68,52.81,54.95,-2.14,28.43,26.74,1.70,22.87,20.38,2.49,84.00,79.66,4.35,65.402224381,83.972411463,18.570187082,25.276237933,49.765241327,24.489003394,47.962928812,54.527688726,6.5647599135,29.751364935,43.715632453,13.964267518,61.356779483,56.768341182,-4.588438301,23.374548137,23.295499443,-0.079048694,35.057979911,39.075163368,4.0171834568
1592,Atypical,Atypical,62.71,74.73,20.42,54.61,33.60,14.36,10.83,67.31,70.73,16.62,52.13,37.17,14.84,11.37,-4.60,4.00,3.79,2.48,-3.57,-0.48,-0.54,49.18,56.89,-7.72,51.84,52.41,-0.57,54.38,57.16,-2.79,53.54,52.94,0.60,27.28,29.18,-1.91,20.73,20.58,0.15,78.81,84.70,-5.90,70.546102223,74.998151091,4.4520488681,27.48559251,33.316602143,5.8310096326,48.86650187,51.626391612,2.7598897415,28.609651479,29.008992604,0.3993411257,50.153728045,44.305594533,-5.848133511,20.926355207,22.396787365,1.4704321574,35.090076266,31.248086995,-3.84198927
8172,Atypical,Atypical,55.46,77.66,23.88,54.10,25.96,12.12,11.59,65.63,77.21,19.68,55.16,32.78,13.61,13.24,-10.17,0.45,4.20,-1.06,-6.82,-1.49,-1.65,51.29,53.43,-2.15,52.42,55.50,-3.08,50.46,51.98,-1.52,51.17,55.34,-4.17,27.45,31.37,-3.92,8.34,7.79,0.55,81.28,82.57,-1.30,75.981397563,70.669771135,-5.311626429,25.587719104,21.419531553,-4.168187551,50.437659406,47.906896383,-2.530763022,33.312977384,30.830546755,-2.482430628,55.782333473,43.013249455,-12.76908402,11.605263172,11.280600568,-0.324662604,29.650612581,28.130953883,-1.519658699
6622,strong_typical,Typical,70.85,76.25,31.43,55.03,40.83,12.59,8.19,77.51,70.34,30.09,44.14,41.63,12.18,8.46,-6.66,5.91,1.34,10.89,-0.80,0.41,-0.26,49.72,51.66,-1.94,50.47,49.16,1.31,47.17,51.01,-3.84,39.26,36.01,3.25,27.59,27.16,0.43,18.72,25.14,-6.42,78.48,78.39,0.08,76.127232968,62.610146861,-13.51708611,32.413048351,33.597816154,1.1847678023,52.485446629,51.455146235,-1.030300394,31.454816631,25.028558932,-6.426257699,48.838854414,45.681800674,-3.15705374,13.132185087,11.709883923,-1.422301163,25.153659469,22.906283988,-2.247375481
